"BET1","SEC31A"
"BET1","SEC24A"
"BET1","ENSP00000393912"
"BET1","GABARAP"
"BET1","MAP1LC3A"
"BET1","PEX1"
"BET1","VAMP7"
"BET1","NUP35"
"BET1","SPAST"
"BET1","ATAD1"
"BET1","SCFD1"
"BET1","ENSP00000411698"
"BET1","GOSR2"
"BET1","SEC22C"
"BET1","SEC22A"
"BET1","WDR53"
"BET1","TRAPPC1"
"BET1","VPS45"
"BET1","TRAPPC3"
"BET1","GABARAPL2"
"BET1","VTI1B"
"BET1","SEC13"
"BET1","VAPA"
"BET1","STX7"
"BET1","USE1"
"BET1","RAB33A"
"BET1","ENSP00000377422"
"BET1","VPS4B"
"BET1","RAB33B"
"BET1","MAP1LC3C"
"BET1","VAMP8"
"BET1","OSTF1"
"BET1","NAPA"
"BET1","NAPB"
"BET1","NSF"
"BET1","STXBP2"
"BET1","STX1B"
"BET1","SNAP29"
"BET1","BNIP1"
"BET1","SNAP25"
"BET1","VPS33A"
"BET1","TSNARE1"
"BET1","STX8"
"BET1","NAPG"
"BET1","VPS33B"
"BET1","STX3"
"BET1","STX2"
"BET1","STX11"
"BET1","STXBP1"
"BET1","VTI1A"
"BET1","STX17"
"BET1","ENSP00000275874"
"BET1","RABL6"
"BET1","ENSP00000330714"
"BET1","GABARAPL1"
"BET1","STX18"
"BET1","FMN1"
"BET1","COG3"
"BET1","ENSP00000380148"
"BET1","OR4C11"
"BET1","OR2B11"
"BET1","VAMP4"
"BET1","ENSP00000305059"
"BET1","ENSP00000394008"
"BET1","SNAP47"
"BET1","ANKRD40"
"BET1","SEC31B"
"BET1","VAMP5"
"BET1","TRAPPC3L"
"YKT6","STX10"
"YKT6","ARF3"
"YKT6","STX6"
"YKT6","ARF1"
"YKT6","STX5"
"YKT6","ASNA1"
"YKT6","CLN3"
"YKT6","STX16"
"YKT6","STX12"
"YKT6","ENSP00000420824"
"YKT6","SNAP23"
"YKT6","UBB"
"YKT6","STX1A"
"YKT6","GOLT1B"
"YKT6","ZW10"
"YKT6","ACTA2"
"YKT6","GET4"
"YKT6","VAMP2"
"YKT6","STX4"
"YKT6","EXOC3"
"YKT6","GOSR1"
"YKT6","COPG1"
"YKT6","ENSP00000393912"
"YKT6","RIC1"
"YKT6","RINT1"
"YKT6","VPS54"
"YKT6","VAMP7"
"YKT6","SCFD1"
"YKT6","ENSP00000411698"
"YKT6","GOSR2"
"YKT6","SEC22C"
"YKT6","SEC22A"
"YKT6","BET1L"
"YKT6","VPS45"
"YKT6","COG6"
"YKT6","GABARAPL2"
"YKT6","VTI1B"
"YKT6","ACTG1"
"YKT6","ACTB"
"YKT6","NCF1"
"YKT6","ENSP00000337605"
"YKT6","VPS39"
"YKT6","STX7"
"YKT6","USE1"
"YKT6","UBL4A"
"YKT6","ENSP00000377422"
"YKT6","ZDHHC17"
"YKT6","VAMP8"
"YKT6","NAPA"
"YKT6","NAPB"
"YKT6","NSF"
"YKT6","PTRH1"
"YKT6","TGFBRAP1"
"YKT6","ACTC1"
"YKT6","STX1B"
"YKT6","SNAP29"
"YKT6","BNIP1"
"YKT6","SNAP25"
"YKT6","DNAJC13"
"YKT6","VPS33A"
"YKT6","TSNARE1"
"YKT6","STX8"
"YKT6","VPS41"
"YKT6","NAPG"
"YKT6","VPS33B"
"YKT6","STX3"
"YKT6","STX2"
"YKT6","STX11"
"YKT6","VPS16"
"YKT6","VTI1A"
"YKT6","STX17"
"YKT6","COG4"
"YKT6","VAC14"
"YKT6","STX18"
"YKT6","ENSP00000297905"
"YKT6","NOXO1"
"YKT6","ACTG2"
"YKT6","ACTA1"
"YKT6","ENSP00000385993"
"YKT6","COG3"
"YKT6","RAB6C"
"YKT6","ENSP00000380148"
"YKT6","VAMP4"
"YKT6","SNAP47"
"YKT6","SH3PXD2B"
"YKT6","SH3PXD2A"
"YKT6","OASL"
"YKT6","RAB36"
"YKT6","RAB6A"
"YKT6","GOLT1A"
"YKT6","RCE1"
"YKT6","ANKRD33"
"YKT6","STX19"
"YKT6","ZDHHC13"
"YKT6","UBL4B"
"YKT6","ENSP00000410403"
"YKT6","RAB6B"
"YKT6","VAMP5"
"YKT6","RAB41"
"PFN1","ENSP00000263200"
"PFN1","CLTC"
"PFN1","ENSP00000271657"
"PFN1","ARPC1B"
"PFN1","ACTR2"
"PFN1","VCP"
"PFN1","RHOQ"
"PFN1","DSTN"
"PFN1","EXOC4"
"PFN1","ARF6"
"PFN1","WASL"
"PFN1","GRID2IP"
"PFN1","ARPC1A"
"PFN1","WIPF2"
"PFN1","ENSP00000380341"
"PFN1","ENSP00000247170"
"PFN1","GABARAP"
"PFN1","DAAM2"
"PFN1","KIF5B"
"PFN1","CAPZA2"
"PFN1","ACTB"
"PFN1","DNM2"
"PFN1","PSTPIP1"
"PFN1","TMSB15A"
"PFN1","TMSB4X"
"PFN1","ENSP00000303019"
"PFN1","ACTR3"
"PFN1","CAP1"
"PFN1","CFL1"
"PFN1","PKMYT1"
"PFN1","TMSB4Y"
"PFN1","CFL2"
"PFN1","WEE2"
"PFN1","WEE1"
"PFN1","PFN2"
"PFN1","ACTR3C"
"PFN1","ACTR3B"
"PFN1","ENSP00000297369"
"PFN1","FMN2"
"PFN1","FMN1"
"PFN1","ACTA1"
"PFN1","ENSP00000364287"
